iter	Passed	Remaining
874	22843	3263
875	22912	3243
876	22944	3217
877	22975	3192
878	23002	3166
879	23030	3140
880	23059	3114
881	23087	3088
882	23113	3062
883	23140	3036
884	23167	3010
885	23195	2984
886	23223	2958
887	23250	2932
888	23277	2906
889	23305	2880
890	23331	2854
891	23358	2828
892	23386	2802
893	23414	2776
894	23442	2750
895	23471	2724
896	23499	2698
897	23526	2672
898	23555	2646
899	23584	2620
900	23613	2594
901	23640	2568
902	23667	2542
903	23695	2516
904	23721	2490
905	23748	2463
906	23776	2437
907	23803	2411
908	23831	2385
909	23859	2359
910	23887	2333
911	23917	2307
912	23945	2281
913	23986	2256
914	24027	2232
915	24070	2207
916	24100	2181
917	24127	2155
918	24154	2128
919	24181	2102
920	24208	2076
921	24239	2050
922	24267	2024
923	24293	1998
924	24321	1972
925	24348	1945
926	24375	1919
927	24402	1893
928	24429	1867
929	24456	1840
930	24482	1814
931	24511	1788
932	24538	1762
933	24567	1736
934	24595	1709
935	24622	1683
936	24651	1657
937	24677	1631
938	24704	1604
939	24731	1578
940	24759	1552
941	24786	1526
942	24813	1499
943	24840	1473
944	24866	1447
945	24893	1420
946	24920	1394
947	24946	1368
948	24974	1342
949	25002	1315
950	25032	1289
951	25061	1263
952	25088	1237
953	25116	1211
954	25161	1185
955	25203	1159
956	25246	1134
957	25276	1108
958	25306	1081
959	25335	1055
960	25364	1029
961	25394	1003
962	25423	976
963	25454	950
964	25480	924
965	25511	897
966	25542	871
967	25570	845
968	25597	818
969	25624	792
970	25653	766
971	25680	739
972	25708	713
973	25735	686
974	25762	660
975	25790	634
976	25819	607
977	25847	581
978	25874	555
979	25902	528
980	25931	502
981	25959	475
982	25986	449
983	26013	422
984	26041	396
985	26068	370
986	26097	343
987	26124	317
988	26151	290
989	26179	264
990	26207	238
991	26234	211
992	26261	185
993	26288	158
994	26330	132
995	26369	105
996	26411	79
997	26447	53
998	26473	26
999	26500	0
